index,date,State,region,blockchain,gekyume,ibf,incel,jit,juuling,mukbang,rng,uwu,zaddy
95,01/03/2016,Utah,UT,0.03136,0,0,0,0.03133,0,0,0.04193,0,0
96,01/03/2016,Vermont,VT,0,0,0,0,0,0,0,0.10528,0,0
97,01/03/2016,Virginia,VA,0.01806,0,0,0,0.00722,0,0,0.01455,0,0.01435
98,01/03/2016,Washington,WA,0.00785,0,0,0,0.00783,0,0.00783,0.01569,0.00783,0
99,01/03/2016,West Virginia,WV,0,0,0,0,0.10584,0,0,0,0,0
100,01/03/2016,Wisconsin,WI,0.01166,0,0,0,0.01746,0,0,0.01746,0.01163,0
101,01/03/2016,Wyoming,WY,0,0,0,0,0,0,0,0,0,0
102,01/10/2016,Alabama,AL,0.01616,0,0,0,0.01616,0,0,0.02406,0,0
103,01/10/2016,Alaska,AK,0,0,0,0,0,0,0,0.10169,0,0
104,01/10/2016,Arizona,AZ,0.0094,0,0.01881,0,0.01879,0,0,0.0094,0,0
105,01/10/2016,Arkansas,AR,0,0,0,0,0.06135,0,0,0,0,0.03067
106,01/10/2016,California,CA,0.02475,0,0.00266,0.00135,0.00936,0,0.00201,0.02742,0,0.00201
107,01/10/2016,Colorado,CO,0.00978,0,0,0.00989,0.01475,0,0,0.01475,0,0
108,01/10/2016,Connecticut,CT,0.0231,0,0,0,0.03067,0,0,0.0154,0.01533,0
109,01/10/2016,Delaware,DE,0.06922,0,0,0,0,0,0,0.06922,0,0
110,01/10/2016,District of Columbia,DC,0.03686,0,0.01852,0,0,0,0,0.01852,0.01852,0
111,01/10/2016,Florida,FL,0.01375,0,0.00277,0,0.01925,0,0.00277,0.02337,0,0.00275
112,01/10/2016,Georgia,GA,0.015,0,0,0,0.01751,0,0.00999,0.02251,0,0
113,01/10/2016,Hawaii,HI,0.04491,0,0,0,0.04491,0,0,0,0,0
114,01/10/2016,Idaho,ID,0,0,0,0,0.04434,0,0,0.04432,0,0
115,01/10/2016,Illinois,IL,0.01357,0,0.00774,0,0.01357,0,0,0.01938,0,0
116,01/10/2016,Indiana,IN,0.0333,0,0.011,0,0.02763,0,0,0.0222,0.01105,0.0111
117,01/10/2016,Iowa,IA,0,0,0,0,0.02321,0,0.02321,0.02308,0,0
118,01/10/2016,Kansas,KS,0,0,0.0209,0,0.03133,0,0.02087,0.02089,0,0
119,01/10/2016,Kentucky,KY,0,0,0,0,0,0,0,0.01757,0,0
120,01/10/2016,Louisiana,LA,0,0,0.01778,0,0,0,0,0.01777,0,0
121,01/10/2016,Maine,ME,0.05143,0,0,0,0,0,0,0.05139,0,0
122,01/10/2016,Maryland,MD,0.00966,0,0,0,0.00966,0,0,0.00979,0,0.00966
123,01/10/2016,Massachusetts,MA,0.01325,0,0,0,0.00664,0,0.00664,0.02319,0.00664,0
124,01/10/2016,Michigan,MI,0.01793,0,0.00598,0.00596,0.01789,0,0,0.01491,0,0
125,01/10/2016,Minnesota,MN,0.02111,0,0,0,0.01055,0,0,0.02111,0,0
126,01/10/2016,Mississippi,MS,0,0,0,0,0.0325,0,0,0,0,0
127,01/10/2016,Missouri,MO,0.01099,0,0.01104,0,0.02198,0,0,0,0.01104,0
128,01/10/2016,Montana,MT,0,0,0,0,0,0,0,0,0,0
129,01/10/2016,Nebraska,NE,0.03371,0,0,0,0.10112,0,0,0.06741,0,0
130,01/10/2016,Nevada,NV,0.02948,0,0,0,0.01965,0,0,0.0393,0,0
131,01/10/2016,New Hampshire,NH,0.04693,0,0,0,0,0,0,0.04627,0,0
132,01/10/2016,New Jersey,NJ,0.02214,0,0,0,0.02214,0,0,0.03163,0,0
133,01/10/2016,New Mexico,NM,0,0,0,0,0,0,0,0.07726,0,0
134,01/10/2016,New York,NY,0.03917,0,0.00356,0,0.0095,0,0,0.01187,0.00238,0.00236
135,01/10/2016,North Carolina,NC,0.03339,0,0.00556,0.00557,0.01113,0,0,0.01391,0,0
136,01/10/2016,North Dakota,ND,0,0,0,0,0,0,0,0,0,0
137,01/10/2016,Ohio,OH,0.01119,0,0.00566,0,0.00554,0,0,0.02798,0,0.00566
138,01/10/2016,Oklahoma,OK,0.02133,0,0,0,0.04272,0,0,0.04272,0,0.02136
139,01/10/2016,Oregon,OR,0,0,0.01324,0,0.01324,0,0,0.03973,0,0
140,01/10/2016,Pennsylvania,PA,0.00741,0,0,0,0.01235,0,0,0.00988,0.00494,0.00494
141,01/10/2016,Rhode Island,RI,0.11368,0,0,0,0,0,0,0,0,0
142,01/10/2016,South Carolina,SC,0.02263,0,0,0,0,0,0,0.01503,0,0.01503
143,01/10/2016,South Dakota,SD,0,0,0,0,0,0,0,0.07767,0,0
144,01/10/2016,Tennessee,TN,0.00927,0,0.00932,0,0.01873,0,0,0.01397,0.00936,0.00936
145,01/10/2016,Texas,TX,0.00884,0,0.00393,0.00196,0.01474,0,0.00197,0.01867,0,0.00295
146,01/10/2016,Utah,UT,0,0,0,0,0.02012,0,0,0.02022,0,0
147,01/10/2016,Vermont,VT,0,0,0,0,0,0,0,0,0,0
148,01/10/2016,Virginia,VA,0.01013,0,0.00672,0.00672,0.01688,0,0.00679,0.02026,0,0
149,01/10/2016,Washington,WA,0.00757,0,0,0,0.01135,0,0,0.01135,0,0
150,01/10/2016,West Virginia,WV,0,0,0,0,0,0,0,0.04958,0,0
151,01/10/2016,Wisconsin,WI,0,0,0,0,0.02243,0,0,0.0336,0,0
152,01/10/2016,Wyoming,WY,0,0,0,0,0,0,0,0,0.14506,0
153,01/17/2016,Alabama,AL,0.01612,0,0.02432,0,0.0163,0,0,0.04837,0.0163,0.01612
154,01/17/2016,Alaska,AK,0,0,0,0,0,0,0,0.20503,0,0
155,01/17/2016,Arizona,AZ,0.01931,0,0.01928,0,0.00966,0,0,0.04346,0,0
156,01/17/2016,Arkansas,AR,0,0,0.02894,0,0,0,0,0.02918,0,0
157,01/17/2016,California,CA,0.03096,0,0.0055,0,0.01032,0,0.00688,0.0172,0.00278,0.00206
158,01/17/2016,Colorado,CO,0.03025,0,0.01024,0,0.01008,0,0,0.03048,0,0
159,01/17/2016,Connecticut,CT,0.04783,0,0.0317,0,0.01585,0,0,0.03179,0,0.03189
160,01/17/2016,Delaware,DE,0,0,0,0,0,0,0.07114,0,0,0
161,01/17/2016,District of Columbia,DC,0.04892,0,0.01959,0,0,0,0,0.01955,0,0
162,01/17/2016,Florida,FL,0.00844,0,0.00422,0,0.03235,0,0.00282,0.01969,0.00282,0.00282
163,01/17/2016,Georgia,GA,0.01263,0,0.00503,0.00508,0.01516,0,0,0.01524,0,0
164,01/17/2016,Hawaii,HI,0.04578,0,0,0,0.04585,0,0,0.04585,0,0
165,01/17/2016,Idaho,ID,0.04622,0,0,0,0.04602,0,0,0.09203,0,0
166,01/17/2016,Illinois,IL,0.02189,0,0.00397,0,0.01194,0,0,0.01592,0,0
167,01/17/2016,Indiana,IN,0.01707,0,0.02275,0,0.01136,0,0,0.02277,0,0
168,01/17/2016,Iowa,IA,0,0,0,0,0,0,0.02338,0,0,0
169,01/17/2016,Kansas,KS,0.02081,0,0,0,0.02081,0,0,0.04165,0,0
170,01/17/2016,Kentucky,KY,0,0,0,0,0,0,0,0.0179,0.01794,0
171,01/17/2016,Louisiana,LA,0.01804,0,0,0,0,0,0,0.0179,0,0.01804
172,01/17/2016,Maine,ME,0,0,0,0,0,0,0,0.10869,0,0
173,01/17/2016,Maryland,MD,0.02032,0,0.0204,0,0.01012,0,0.01012,0.03048,0,0
174,01/17/2016,Massachusetts,MA,0.03455,0,0.01728,0,0.02758,0,0.00693,0.03801,0,0
175,01/17/2016,Michigan,MI,0,0,0,0,0.0122,0,0,0.0213,0,0
176,01/17/2016,Minnesota,MN,0,0,0,0,0.04419,0,0.01105,0.02209,0,0
177,01/17/2016,Mississippi,MS,0,0,0,0,0,0,0,0,0,0
178,01/17/2016,Missouri,MO,0.01118,0,0.01118,0,0.01118,0,0.01126,0.01126,0,0
179,01/17/2016,Montana,MT,0,0,0,0,0,0,0,0.08023,0,0
180,01/17/2016,Nebraska,NE,0,0,0,0,0.03421,0,0,0.06844,0,0
181,01/17/2016,Nevada,NV,0.02035,0,0.02035,0,0,0,0.02019,0.06105,0,0
182,01/17/2016,New Hampshire,NH,0,0,0,0,0,0,0,0.04806,0,0
183,01/17/2016,New Jersey,NJ,0.01283,0,0,0.00638,0.02885,0,0,0.00641,0.00638,0.00641
184,01/17/2016,New Mexico,NM,0.07914,0,0,0,0,0,0,0.03957,0,0
185,01/17/2016,New York,NY,0.04905,0,0.00736,0,0.01226,0,0.00246,0.02452,0.00245,0.00245
186,01/17/2016,North Carolina,NC,0.02027,0,0.00582,0,0.01738,0,0.00582,0.01738,0,0.00582
187,01/17/2016,North Dakota,ND,0,0,0,0,0,0,0,0,0.09624,0
188,01/17/2016,Ohio,OH,0.02301,0,0.00575,0,0.01141,0,0,0.00856,0,0.00575
189,01/17/2016,Oklahoma,OK,0,0,0,0,0.04297,0,0.02141,0.02149,0,0
190,01/17/2016,Oregon,OR,0.01334,0,0,0,0.01334,0,0.01335,0.03337,0,0
191,01/17/2016,Pennsylvania,PA,0.035,0,0.005,0,0.01258,0,0,0.00503,0,0.005
192,01/17/2016,Rhode Island,RI,0.05782,0,0,0,0.05826,0,0,0.0587,0,0
193,01/17/2016,South Carolina,SC,0.01499,0,0,0,0.01492,0,0,0.01499,0,0.01499
194,01/17/2016,South Dakota,SD,0,0,0,0,0.08173,0,0,0,0,0
195,01/17/2016,Tennessee,TN,0.01394,0,0,0,0.00929,0,0.00933,0.01394,0,0.00926
196,01/17/2016,Texas,TX,0.01301,0,0.003,0.002,0.01001,0,0.003,0.01902,0,0.002
197,01/17/2016,Utah,UT,0,0,0,0,0,0,0,0,0,0
198,01/17/2016,Vermont,VT,0,0,0,0,0,0,0,0,0,0
199,01/17/2016,Virginia,VA,0.01365,0,0.00684,0,0.01365,0,0,0.00683,0,0.00681
200,01/17/2016,Washington,WA,0.01582,0,0,0,0.00794,0,0.02363,0.01582,0,0
201,01/17/2016,West Virginia,WV,0,0,0,0,0,0,0,0,0,0.05015
202,01/17/2016,Wisconsin,WI,0.01145,0,0.01139,0,0,0,0,0.02265,0,0
203,01/17/2016,Wyoming,WY,0,0,0,0,0,0,0,0,0,0
204,01/24/2016,Alabama,AL,0.01611,0,0,0,0.02416,0,0,0,0,0
205,01/24/2016,Alaska,AK,0,0,0,0,0,0,0,0,0,0
206,01/24/2016,Arizona,AZ,0,0,0,0,0.04777,0,0,0.01441,0,0.00955
207,01/24/2016,Arkansas,AR,0.02845,0,0,0,0.02836,0,0,0.02836,0,0
208,01/24/2016,California,CA,0.026,0,0.00137,0.00137,0.01095,0,0.00205,0.02121,0.00274,0.00547
209,01/24/2016,Colorado,CO,0.02497,0,0,0,0,0,0,0,0,0.0298
210,01/24/2016,Connecticut,CT,0,0,0,0,0.03184,0,0,0.03177,0,0
211,01/24/2016,Delaware,DE,0,0,0,0,0,0,0,0,0,0
212,01/24/2016,District of Columbia,DC,0.03584,0,0.0179,0,0,0,0,0.01794,0,0
213,01/24/2016,Florida,FL,0.02102,0,0.00281,0.00838,0.02662,0,0.0042,0.00841,0.0042,0.0042
214,01/24/2016,Georgia,GA,0.01009,0,0.00505,0,0.01261,0,0.00506,0.01261,0,0.01009
215,01/24/2016,Hawaii,HI,0,0,0,0,0,0,0,0.04536,0,0.04555
216,01/24/2016,Idaho,ID,0.04585,0,0.04585,0,0,0,0,0,0,0
217,01/24/2016,Illinois,IL,0.02743,0,0.0079,0,0.01371,0,0.00392,0.02351,0.00395,0.00389
218,01/24/2016,Indiana,IN,0.02796,0,0,0,0.01677,0,0,0.02237,0.01118,0
219,01/24/2016,Iowa,IA,0.03395,0,0,0,0,0,0,0,0,0
220,01/24/2016,Kansas,KS,0,0,0,0,0,0,0,0.02143,0,0
221,01/24/2016,Kentucky,KY,0.01806,0,0,0,0.01812,0,0,0.05403,0,0.01812
222,01/24/2016,Louisiana,LA,0.01812,0,0.01812,0,0,0,0,0.03624,0,0.01812
223,01/24/2016,Maine,ME,0,0,0,0,0,0,0,0,0,0
224,01/24/2016,Maryland,MD,0.01527,0,0.01026,0,0.01526,0,0,0.03053,0.01026,0.01009
225,01/24/2016,Massachusetts,MA,0.07093,0,0.00701,0,0.01064,0,0,0.01419,0,0.00701
226,01/24/2016,Michigan,MI,0,0,0,0.00591,0.02061,0,0,0.02944,0.00591,0
227,01/24/2016,Minnesota,MN,0.01633,0,0,0,0.01098,0,0,0.02177,0,0.01098
228,01/24/2016,Mississippi,MS,0.0319,0,0,0,0,0,0,0.0319,0,0
229,01/24/2016,Missouri,MO,0.01101,0,0,0,0,0,0,0.02759,0,0.01103
230,01/24/2016,Montana,MT,0,0,0,0,0.07992,0,0,0,0,0
231,01/24/2016,Nebraska,NE,0.03388,0,0,0,0,0,0,0.06721,0,0.06831
232,01/24/2016,Nevada,NV,0.0218,0,0,0,0,0,0,0.08728,0,0.0327
233,01/24/2016,New Hampshire,NH,0.04911,0,0,0,0.04919,0,0.04903,0,0,0
234,01/24/2016,New Jersey,NJ,0.03297,0,0,0.00659,0.0132,0,0,0.0165,0.00661,0.01319
235,01/24/2016,New Mexico,NM,0.0398,0,0.0395,0,0.0398,0,0,0.0398,0,0
236,01/24/2016,New York,NY,0.07724,0,0.00728,0,0.01207,0,0.0072,0.01448,0.00243,0.00603
237,01/24/2016,North Carolina,NC,0.01424,0,0.0057,0,0.01994,0,0.00569,0.01139,0,0.00854
238,01/24/2016,North Dakota,ND,0,0,0,0,0,0,0,0,0,0
239,01/24/2016,Ohio,OH,0.02571,0,0.01145,0,0.00572,0,0,0.02285,0,0.01428
240,01/24/2016,Oklahoma,OK,0.04363,0,0.02195,0,0.02188,0,0,0.04363,0,0
241,01/24/2016,Oregon,OR,0,0,0,0,0.02616,0,0,0.01972,0,0
242,01/24/2016,Pennsylvania,PA,0.01491,0,0,0,0.01243,0,0,0.01243,0,0.00493
