region,date,blase,netflix and chill,glock,lowkey,pleb,quan,pepe,stoop,burnt,simmer,chapo,spry,vape,tome,nae nae,shudder,wap,triggered,shook,juju,broccoli,woke,holosexual,shill,gaslighting,bigly,SJW,dank memes,vexing,bough,brandish,boolin,quash,wavy
CT,9/6/15,0.28132,0.36211,0.19818,0.08988,0.09648,0.25201,0.28966,0.12889,0.13192,0.15570,0.02519,0.04799,0.11887,0.17820,0.50663,0.12687,0.28045,0.04337,,0.04195,0.16727,0.19990,,0.06550,0.06659,0.00444,0.07338,0.14842,0.06613,0.06168,0.02073,0.21979,0.03794,0.08980
DC,9/6/15,0.45917,0.26640,0.19285,0.10496,0.04225,0.28203,0.10148,0.15522,0.16506,0.02922,0.03089,0.23115,0.15216,0.26532,0.28939,0.18519,0.31727,0.03798,0.03540,0.11022,0.07325,0.04377,,0.07649,0.11665,,0.06427,0.02600,0.02896,0.05403,,0.23100,0.01899,0.15730
DE,9/6/15,0.39611,0.37391,,0.07735,0.24908,0.14458,,,0.09731,,0.05203,0.37166,0.04721,0.18402,0.45496,0.10918,0.30169,,,,0.14394,0.25802,,,,,,,0.17074,,,0.22696,0.02798,0.34776
FL,9/6/15,0.34965,0.21728,0.12962,0.07680,0.08244,0.34029,0.17968,0.13767,0.09662,0.07391,0.02201,0.13212,0.07987,0.16242,0.34717,0.14856,0.27737,0.09471,0.07291,0.06372,0.15882,0.14235,,0.05804,0.04637,0.00337,0.02090,0.01691,0.15070,0.06442,0.15745,0.26711,0.02161,0.09805
GA,9/6/15,0.58676,0.24980,0.13563,0.12456,0.07428,0.58208,0.12489,0.12901,0.12188,0.03425,0.03103,0.11823,0.06477,0.14269,0.51557,0.13675,0.27351,0.08014,0.02489,0.24546,0.15454,0.12312,,0.09413,0.05469,,0.05650,0.04571,0.06110,0.09498,0.08938,0.24368,0.00835,0.11754
HI,9/6/15,0.30124,0.38388,0.06484,0.26469,,0.70091,0.11373,,0.05550,0.03275,0.02968,0.35328,0.10771,0.20991,0.51895,0.18680,0.24089,0.12772,,0.12353,0.08210,0.22075,,0.06429,0.06537,,0.21610,0.17484,0.09738,0.22706,0.06104,0.25890,0.01596,0.26445
IA,9/6/15,0.25056,0.32748,0.09957,0.18064,,0.35875,0.08732,0.19428,0.08522,0.10058,0.01519,0.14466,0.11026,0.10744,0.63084,0.03187,0.21136,0.09806,,,0.16808,0.07533,,0.09872,0.06692,,,0.04474,,0.09297,0.06249,,0.01634,0.16920
ID,9/6/15,0.04481,0.45678,,0.10499,0.11269,0.09812,0.13534,0.11292,,0.15589,,0.16815,0.12816,0.12489,0.61752,0.07409,0.12285,,,,,,0.08340,0.15300,,,0.12857,,0.23175,0.10807,,,0.01899,
IL,9/6/15,0.48983,0.27915,0.15194,0.06059,0.07652,0.40308,0.13325,0.12267,0.11659,0.10056,0.02398,0.18268,0.11531,0.11872,0.39833,0.13081,0.22799,0.08256,0.05289,0.07985,0.12603,0.13080,,0.08311,0.07394,0.00211,0.04365,0.07063,0.04721,0.04770,0.09864,0.23010,0.01289,0.08013
IN,9/6/15,0.17610,0.31030,0.25272,0.03439,0.11073,0.65344,0.14775,0.16025,0.12977,0.05106,0.03084,0.12850,0.05597,0.21815,0.28651,0.17796,0.29505,0.09955,0.09277,0.03210,0.12798,0.15295,,0.03341,0.05095,,0.05615,0.06814,0.12650,0.08259,0.07930,0.30270,0.04976,0.05153
KS,9/6/15,0.45433,0.20138,0.17008,0.13885,0.04968,0.47583,0.08950,0.09956,0.11645,0.05154,0.02335,0.22239,0.07063,0.08259,0.44238,0.09799,0.14442,0.10050,,0.12961,0.17227,0.27020,,0.13490,0.06858,,0.11336,0.22929,0.30650,0.04764,0.09607,0.13581,0.02512,0.03468
KY,9/6/15,0.36814,0.12163,0.13207,0.03594,0.01929,0.50385,0.13899,0.05798,0.11304,0.14675,0.03022,0.05756,0.03291,0.12826,0.52849,0.07609,0.21027,,0.04849,0.05032,0.06689,0.11990,,0.05238,0.05326,,0.26409,0.07122,0.03967,0.11099,0.07460,0.36912,,0.02693
LA,9/6/15,0.23832,0.16197,0.35567,0.03723,0.15983,0.48708,0.14396,0.02002,0.09366,0.09673,0.02504,0.29811,0.07953,0.15499,0.38317,0.18390,0.36298,0.02694,0.05022,0.05212,0.13856,0.15523,,0.10850,0.11032,,,,0.08217,0.03832,0.07727,0.49156,0.01347,0.02789
MA,9/6/15,0.26211,0.25900,0.17286,0.07840,0.06312,0.25035,0.16844,0.06324,0.04932,0.08246,0.01758,0.04186,0.08773,0.13989,0.37467,0.09222,0.27521,0.03783,0.02644,0.05489,0.13375,0.11988,,0.04761,0.02904,0.00193,0.12802,0.03884,0.04327,0.11434,0.03616,0.11503,0.02600,0.09791
MD,9/6/15,0.31189,0.26735,0.17419,0.09875,0.08480,0.32302,0.20368,0.08497,0.14908,0.08064,0.02657,0.06327,0.07233,0.15271,0.33398,0.08363,0.26191,0.07147,0.06661,0.05531,0.07351,0.08236,,0.08635,0.04390,,0.09675,0.11741,0.06539,0.13215,0.02733,0.28978,0.03215,0.04440
ME,9/6/15,0.17858,0.25285,0.15376,0.15690,0.11228,0.24440,0.13484,0.11250,,0.03883,,,0.15962,0.06221,0.38453,0.14764,0.16319,,,,0.19467,0.08724,,,,,,,0.34635,0.10768,,,0.07569,0.07838
MI,9/6/15,0.37274,0.29444,0.12669,0.08044,0.14186,0.30073,0.13332,0.01854,0.14457,0.08532,0.02319,0.13804,0.10171,0.12303,0.47315,0.08921,0.18377,0.02495,0.03101,0.09654,0.14970,0.17251,,0.10049,0.03406,,0.05629,0.10248,0.05073,0.10055,0.05566,0.10116,0.00831,0.06028
MN,9/6/15,0.17458,0.23730,0.16536,0.10227,0.09880,0.24850,0.10546,0.13199,0.07719,0.09111,0.03096,0.19655,0.07491,0.07299,0.43610,0.08661,0.07180,0.02961,0.15176,0.08591,0.05709,0.13646,,0.05961,0.04546,,0.10019,0.12159,0.04515,0.09474,0.07075,0.12003,0.00740,0.12261
MO,9/6/15,0.45824,0.26991,0.26830,0.06442,0.05762,0.54187,0.15225,0.13857,0.12157,0.10362,0.01806,0.13757,0.07209,0.14049,0.55258,0.19701,0.15913,0.12434,0.04345,0.03007,0.11989,0.17909,,0.04694,0.03182,,0.13149,0.17021,0.02370,0.05526,0.05943,0.09452,,0.08045
MS,9/6/15,0.67361,0.14674,0.13385,0.15177,,0.73757,0.19564,,0.30548,0.04507,0.03063,0.19446,0.07411,0.03611,0.53559,0.17137,0.23677,,0.08189,0.08500,0.16946,0.20251,,0.08847,,,,,0.06700,,0.12600,0.44533,,0.09098
MT,9/6/15,,0.33273,,0.17207,0.09235,0.08041,0.11091,0.09253,0.10824,0.25549,,0.27560,0.21006,,0.50605,0.12144,0.06711,,0.23213,0.24092,,0.43050,,,,,,,,,,,,0.38682
NC,9/6/15,0.57922,0.26137,0.22706,0.11585,0.07106,0.63419,0.09956,0.06527,0.07634,0.07782,0.03340,0.13254,0.04378,0.21656,0.44617,0.10123,0.37009,0.09583,0.02977,0.15448,0.11294,0.11043,,0.04824,0.02452,,0.04054,0.06559,0.06089,0.03975,0.06871,0.24283,0.01198,0.09095
ND,9/6/15,0.17123,0.19396,0.14743,,0.10766,0.28122,,0.10787,,0.22339,0.03374,0.32129,,0.11931,0.14748,0.28314,0.15648,,,,,,,,0.14862,,,,,,0.13879,,0.03629,0.15031
NE,9/6/15,0.18000,0.40779,0.15498,0.28117,0.07545,0.45987,0.36245,0.15120,0.26529,0.15656,0.04729,0.16887,0.08581,0.29266,0.62016,0.09922,0.10966,0.15263,0.09483,,0.19622,0.11725,,,0.05208,,0.08608,0.13929,0.07758,,0.09727,,0.07629,
NH,9/6/15,0.20392,0.55437,0.21070,,,0.31259,0.12318,0.10278,,,0.01607,,0.14582,0.11367,0.56206,0.20232,0.14909,,0.25783,0.13380,0.08892,0.07970,,0.06963,,,0.23406,,,0.09837,,,,
NJ,9/6/15,0.25352,0.23099,0.11389,0.08394,0.11089,0.23534,0.11652,0.07639,0.11372,0.02876,0.03692,0.10341,0.10247,0.06912,0.30381,0.19138,0.38278,0.06543,0.01742,0.03616,0.18024,0.15078,,0.04705,0.02870,,0.04744,0.05118,0.08551,0.05982,0.03574,0.24630,0.02102,0.21288
NM,9/6/15,0.22737,0.21463,0.06526,0.04440,0.09531,0.33196,0.11447,0.04775,0.11171,0.09889,0.04480,0.07111,0.05420,0.10563,0.19586,0.18800,0.31170,0.19281,0.05990,0.12433,0.16524,0.14810,,,0.13158,,,,0.19601,,0.18430,,,0.06654
NV,9/6/15,0.35568,0.21104,0.20417,0.11906,0.02130,0.37091,0.20463,0.17073,0.44934,0.10312,0.06007,0.06356,0.04845,0.21244,0.37932,0.16805,0.24766,0.08617,0.05354,0.05557,0.14771,0.23168,,0.08675,0.02940,,0.04860,0.11796,0.08760,0.08171,,0.05823,,0.05948
NY,9/6/15,0.25927,0.18139,0.13788,0.09380,0.06712,0.23378,0.15259,0.11049,0.13767,0.08456,0.02178,0.12162,0.09679,0.17534,0.31199,0.15447,0.26481,0.06466,0.03615,0.07505,0.23692,0.16391,0.00355,0.10741,0.06950,0.00265,0.07111,0.02213,0.12325,0.05518,0.04327,0.17040,0.01616,0.09372
OH,9/6/15,0.38789,0.22518,0.12525,0.09089,0.03049,0.47249,0.11716,0.07331,0.21438,0.06326,0.01146,0.12737,0.05547,0.10811,0.43434,0.11225,0.28802,0.09045,0.05364,0.04772,0.11628,0.11370,,0.10762,0.01683,0.00168,0.13913,0.07879,0.05016,0.02924,0.03930,0.16668,0.00411,0.12769
OK,9/6/15,0.27982,0.31696,0.03212,0.04371,0.07038,0.49021,0.25355,0.11753,0.13747,0.04868,0.01470,,0.06670,0.18198,0.44991,0.21593,0.35801,0.09491,0.11793,0.06120,0.08134,0.14581,,0.03185,0.06477,,,,,0.04499,0.06048,,0.00791,0.13101
OR,9/6/15,0.09422,0.16008,0.04056,0.04829,0.07405,0.10316,0.06225,0.03710,0.05207,0.08707,0.01856,0.12154,0.05053,0.04103,0.18259,0.09737,0.11301,0.03995,0.01861,0.03864,0.08987,0.06904,,0.08043,0.04089,,0.06759,0.02734,0.03046,0.03551,0.01909,0.02024,,0.03102
PA,9/6/15,0.26478,0.24369,0.08549,0.04362,0.04682,0.30803,0.13121,0.15117,0.12805,0.11515,0.01793,0.12421,0.13017,0.07495,0.33497,0.10946,0.30625,0.03508,0.06539,0.13573,0.14432,0.11318,,0.05651,0.06464,,0.05936,0.04802,0.10699,0.04491,0.03353,0.08534,0.02280,0.13075
RI,9/6/15,0.04823,0.38243,0.16612,0.11301,,0.21124,0.21852,0.24309,0.14217,0.12585,0.05702,0.09050,0.06898,0.26886,0.41544,,0.26447,0.08180,,,0.21031,0.28275,,0.08235,,,,,,0.11633,0.07819,0.33161,,0.08468
SC,9/6/15,0.33445,0.24108,0.13962,0.07124,0.02549,0.56594,0.13775,0.02554,0.08962,0.01763,0.01997,0.13312,0.05798,0.04237,0.34918,0.11731,0.28712,0.12031,,0.03325,0.17677,0.05941,,0.05191,0.03519,0.00352,0.02908,0.09411,0.05242,0.02445,0.04929,0.13936,0.02148,0.05338
SD,9/6/15,0.26068,0.09843,,,,0.47571,0.13123,,,,0.03424,0.16305,,,0.14969,0.28738,0.07941,,,,0.18945,,,0.14836,,,,0.20173,,,0.28173,,0.03683,
TN,9/6/15,0.63974,0.17881,0.11446,0.09734,0.04179,0.51853,0.10038,0.05234,0.08572,0.02890,0.01637,0.06236,0.08318,0.12736,0.52957,0.20608,0.22019,0.14090,0.07878,0.05451,0.21737,0.06494,,0.02837,0.07212,0.00577,0.02384,0.07715,0.02149,0.09018,0.09428,0.05712,0.00704,0.07294
TX,9/6/15,0.49828,0.29515,0.15744,0.13389,0.07282,0.50888,0.18410,0.09792,0.12577,0.06097,0.05404,0.12295,0.09807,0.14228,0.53813,0.12599,0.27294,0.06977,0.04576,0.08998,0.15614,0.18164,,0.06764,0.04762,0.00053,0.08308,0.04953,0.07881,0.04594,0.11857,0.19906,0.01615,0.13644
UT,9/6/15,0.11764,0.39977,0.06753,0.11485,0.07397,0.19321,0.14805,0.19764,0.08669,0.15348,0.02318,0.22074,0.02804,0.13662,0.27021,0.16211,0.07167,,,0.06432,0.08549,,,0.06695,0.06807,,,,0.10141,0.09458,0.06357,,,0.03442
VA,9/6/15,0.24196,0.26103,0.17857,0.04725,0.05071,0.29647,0.10440,0.05807,0.09340,0.06013,0.02270,0.18377,0.09063,0.07226,0.46645,0.12384,0.25798,0.09770,0.05463,0.15120,0.10048,0.11258,,0.08853,0.06001,0.00400,0.08266,0.05350,0.02980,0.08337,0.07472,0.21785,0.01953,0.40459
VT,9/6/15,,0.39877,0.30312,0.10311,,0.38547,0.26583,,,0.15310,,0.16514,0.06294,,0.30323,,0.16086,,,,0.38377,0.17198,,,0.30557,,0.25255,,,,,,0.07460,
WA,9/6/15,0.19475,0.20589,0.10061,0.10647,0.16327,0.20613,0.10784,0.07362,0.15308,0.06211,0.03070,0.14617,0.13462,0.15379,0.42495,0.09661,0.13052,0.04404,0.03078,0.08519,0.05661,0.21565,,0.09975,0.11269,0.00225,0.07451,0.03014,0.01679,0.03131,0.07366,0.08926,0.01651,0.10258
WI,9/6/15,0.13452,0.18503,0.13237,0.11257,0.08458,0.35771,0.14511,0.04843,0.15578,0.09193,0.03029,0.18030,0.06871,0.20086,0.34761,0.11122,0.16684,0.01630,0.04556,0.06304,0.14664,0.18776,,0.03281,0.03336,,0.02757,0.06692,0.07455,0.05794,0.15576,0.06606,0.01629,0.06748
WV,9/6/15,0.48030,0.14838,,,0.05491,0.19123,,0.11003,0.12871,0.07595,,0.24579,0.06245,0.12170,0.52653,0.14441,0.27932,0.07405,,,0.09520,0.17065,,0.07455,0.07580,,,0.10137,,0.10531,,,,0.15332
WY,9/6/15,0.13433,0.15216,0.69392,,0.33782,0.14707,0.40570,0.33849,,,0.05293,,0.19210,0.18719,,,0.24550,,,,0.29286,0.26249,,,0.23318,,,0.31183,,,,,0.05693,
AK,9/13/15,0.15565,0.08815,0.26803,,0.09786,0.59646,0.23505,,0.11470,,,0.14602,0.16695,,0.26812,0.12869,0.07112,,,,0.16968,,,0.13288,0.13510,,,,0.20125,,,,0.03299,0.13663
AL,9/13/15,0.52320,0.29627,0.37932,0.08064,0.08656,0.70846,0.06237,0.22550,0.14203,0.10776,0.01627,0.12916,0.10829,0.15348,0.68776,0.22765,0.35227,0.02335,0.02176,0.04516,0.06004,0.16143,,0.09403,0.02390,,,0.03196,0.28481,0.09963,0.13392,0.33133,0.03501,0.07251
AR,9/13/15,0.35950,0.32572,0.33014,0.08422,0.06027,0.76092,0.28952,0.06039,0.17659,0.02084,0.03777,0.22483,0.01714,0.13358,0.49539,0.23776,0.32850,0.28448,0.11362,0.07862,0.10451,0.14050,,,,,0.06876,0.11127,0.06197,0.14452,0.19427,0.08239,0.01016,0.04207
AZ,9/13/15,0.27972,0.32587,0.34405,0.09363,0.10050,0.35876,0.22931,0.18125,0.16490,0.04866,0.03464,0.10497,0.10858,0.10023,0.38548,0.18501,0.41629,0.12198,0.08841,0.18352,0.22652,0.12494,,0.05458,0.02775,,0.09173,0.01855,0.10333,0.15421,0.16843,0.02747,0.01694,0.07016
CA,9/13/15,0.37741,0.38447,0.23599,0.10868,0.10340,0.28740,0.19263,0.16337,0.20664,0.09627,0.04445,0.11868,0.09423,0.18216,0.37227,0.19523,0.32851,0.06078,0.06997,0.13833,0.15170,0.13184,,0.07920,0.06588,,0.10587,0.08321,0.07360,0.10044,0.07349,0.07611,0.02279,0.14621
CO,9/13/15,0.22149,0.19710,0.23156,0.14827,0.14920,0.28580,0.15529,0.04983,0.12823,0.06192,0.03428,0.13358,0.11878,0.16535,0.42241,0.10464,0.18794,0.01341,0.05000,0.15569,0.06899,0.03092,,0.14856,0.02746,,0.13618,0.01836,0.08182,0.09540,0.07694,,0.02347,0.09721
CT,9/13/15,0.24510,0.33304,0.21098,0.15788,0.06163,0.24146,0.22203,0.10806,0.07223,0.17049,,0.20690,0.09637,0.10244,0.18995,0.30389,0.32469,0.18699,0.03873,0.12058,0.10688,0.11974,,0.06277,0.04254,,0.10546,0.14221,0.03168,0.07390,0.13907,0.29491,0.02078,0.08604
DC,9/13/15,0.45520,0.31432,0.22938,0.02601,0.05583,0.29169,0.05029,0.11189,0.09816,0.10620,0.01750,0.12497,0.06350,0.13922,0.40156,0.16520,0.26374,0.01882,0.08771,0.07283,0.26626,0.10848,,0.03791,,,0.06370,0.02577,0.05741,0.08034,0.07199,0.22900,0.02823,0.05847
DE,9/13/15,0.19382,0.29249,0.22235,,,0.28274,,0.16269,,,,,,,0.22243,0.10675,,,,,0.70429,,,0.11031,,,,0.14987,,,,,,0.22669
FL,9/13/15,0.47169,0.29135,0.29120,0.09487,0.10782,0.37813,0.12949,0.13504,0.16849,0.12015,0.01877,0.15641,0.06472,0.17260,0.37337,0.14966,0.31560,0.09694,0.04517,0.03907,0.11427,0.10707,,0.07321,0.04548,,0.06834,0.08847,0.08623,0.08906,0.17765,0.21293,0.02221,0.15890
GA,9/13/15,0.57345,0.24462,0.29076,0.06900,0.09382,0.61911,0.12453,0.15338,0.16204,0.05464,0.02476,0.19893,0.05054,0.16964,0.34498,0.14934,0.32296,0.10655,0.09929,0.19323,0.15414,0.13048,,0.05365,0.02727,,0.10141,0.06381,0.09139,0.09947,0.12098,0.20254,0.02331,0.08273
HI,9/13/15,0.40697,0.33521,0.19112,0.08668,0.13956,0.89112,0.16760,0.23306,0.21809,0.09653,,0.13883,0.15872,0.25777,0.38237,0.06117,0.27046,,0.05847,,0.16132,0.14459,,,,0.01283,,0.17176,0.09567,0.04462,0.17993,,0.01568,
IA,9/13/15,0.22680,0.32108,0.19526,0.15498,0.14259,0.53799,0.31394,0.16668,0.11141,0.16437,0.01489,0.17730,0.13514,0.21069,0.55344,0.06250,0.15543,0.09615,0.05973,,0.12362,0.18466,,0.03227,0.09842,,0.05423,0.04387,0.04887,0.06838,0.18383,0.12994,0.05607,0.09954
ID,9/13/15,0.16767,0.37980,0.14436,,,0.41304,,0.05281,0.18533,0.03646,,0.07865,0.02997,,0.28882,0.20793,0.11491,0.14217,0.13249,0.13751,0.27417,,,0.07157,0.07276,,0.12027,,0.10839,0.05055,0.06795,,,
IL,9/13/15,0.42151,0.34717,0.35019,0.06905,0.11489,0.40659,0.14688,0.15596,0.14334,0.08459,0.02555,0.14931,0.11802,0.20125,0.32493,0.18519,0.25856,0.07997,0.04192,0.04834,0.13496,0.09792,,0.02516,0.04605,0.00307,0.06765,0.06158,0.06859,0.04977,0.09557,0.14186,0.02249,0.12936
IN,9/13/15,0.23003,0.34729,0.21450,0.12348,0.06025,0.58750,0.20258,0.09658,0.14122,0.11667,0.02643,0.23373,0.06166,0.08012,0.37964,0.20598,0.21891,0.04875,0.06057,0.12574,0.10448,0.14983,,0.04909,0.06653,0.00332,0.08248,0.11122,0.04956,0.21962,0.06215,0.03295,0.03656,0.11776
KS,9/13/15,0.20674,0.25543,0.29125,0.08806,0.25995,0.43210,0.17028,0.09471,0.19388,0.11441,0.01481,0.14105,0.09407,0.31427,0.42085,0.24860,0.24043,0.09561,0.11880,,0.12293,0.11018,,0.12836,0.03262,,,0.04363,0.04860,0.02267,0.36562,0.25844,0.01593,0.09898
KY,9/13/15,0.23572,0.33367,0.50729,0.06902,0.09261,0.46769,0.11122,0.07424,0.08683,0.10249,0.01161,0.08291,0.06320,0.20527,0.35523,0.14614,0.30960,0.17486,0.06984,0.04832,0.12848,0.05758,,0.02515,0.02557,,0.12680,0.03419,0.03809,0.47971,0.28660,0.10129,0.00624,0.15516
LA,9/13/15,0.44336,0.28692,0.32716,0.03710,0.01991,0.71073,0.14346,0.21943,0.09334,0.09639,0.01248,0.02971,,0.28683,0.21819,0.28798,0.33277,0.16110,0.05004,0.10388,0.17261,,,0.05407,0.05497,,0.09086,0.07351,0.12283,0.21005,0.07701,0.16330,0.02013,0.13898
MA,9/13/15,0.28311,0.27219,0.45981,0.07508,0.06044,0.28651,0.15323,0.08074,0.14167,0.04180,0.02104,0.14028,0.14511,0.16373,0.27598,0.13246,0.35138,0.06340,0.01688,0.15767,0.18634,0.09394,,0.05472,0.09270,0.00185,0.12259,0.08678,0.01381,0.05798,0.06062,0.14691,0.01585,0.04688
MD,9/13/15,0.18244,0.27232,0.17132,0.09713,0.03128,0.35401,0.15024,0.12535,0.14662,0.14421,0.02940,0.12445,0.08300,0.19641,0.31420,0.09596,0.28032,0.11248,0.07861,0.19038,0.14464,0.09723,,0.09911,0.08635,,0.02379,0.05774,0.08576,0.11001,0.05377,0.22807,0.02109,0.10189
ME,9/13/15,0.04267,0.43474,0.14688,0.04996,,0.28016,0.25762,,0.25141,,0.01680,0.24006,0.06099,0.41602,0.07347,0.56416,0.15589,0.07232,,,0.09302,0.16675,,0.21854,0.07403,,0.12237,,,0.05145,0.06917,,0.03617,
MI,9/13/15,0.34221,0.35035,0.26633,0.09334,0.10019,0.40539,0.15571,0.12401,0.09670,0.10191,0.01847,0.14950,0.15416,0.15022,0.37138,0.16275,0.28696,0.03179,0.05185,0.10763,0.15331,0.05496,,0.04802,0.04068,0.00488,0.08069,0.07616,0.06060,0.06784,0.15959,0.11281,0.02186,0.09051
MN,9/13/15,0.24339,0.29402,0.11175,0.04752,0.06120,0.27534,0.18376,0.07155,0.07173,0.08466,0.01279,0.01522,0.05221,0.12435,0.40525,0.08048,0.27429,0.06878,0.01282,0.02661,0.12382,0.06341,,0.09696,0.02816,,,0.05650,0.04196,0.05870,0.15782,,0.01375,0.04273
MO,9/13/15,0.35616,0.24202,0.22997,0.09387,0.07837,0.49715,0.14790,0.06731,0.23619,0.10841,0.02807,0.26729,0.07003,0.16129,0.33742,0.08833,0.30104,0.07549,0.02814,0.11683,0.15530,0.10440,,0.07601,,,0.10219,0.06201,0.11512,0.07517,0.10104,0.06122,0.00377,0.12505
MS,9/13/15,0.35824,0.23183,0.30841,0.08992,0.09652,0.78438,0.23183,0.16119,0.07542,0.17802,0.01008,0.24004,0.05489,0.14262,0.35260,0.08461,0.51439,0.08678,0.04044,0.08393,0.16737,0.20001,,0.04369,,,0.07341,,0.13233,,0.08296,,0.04338,0.04492
MT,9/13/15,0.14090,,0.36394,0.08253,,0.07713,0.10639,0.17753,0.20765,,,0.39656,,0.19635,,,0.25752,0.11947,,,0.15360,0.13767,,,0.12229,,,0.16354,0.18218,0.16992,0.11421,,0.02986,
NC,9/13/15,0.41504,0.22430,0.30042,0.08838,0.06522,0.51625,0.16377,0.13070,0.15288,0.09022,0.03902,0.13271,0.06406,0.14456,0.46298,0.10136,0.49552,0.12794,0.05216,0.09281,0.22622,0.15668,,0.06442,0.00819,,0.08118,0.15324,0.09755,0.05119,0.13763,0.21078,0.02799,0.15729
ND,9/13/15,0.16315,0.46195,0.28093,,0.20515,0.35724,,,0.12022,0.49661,0.03214,0.15305,0.17498,,0.28103,,0.07454,,,,,,,,,,,,0.21094,,,,,
NE,9/13/15,0.20149,0.39120,0.29738,0.03372,0.03619,0.34665,0.13040,,0.08484,0.05007,0.02268,0.16202,0.04116,0.16044,0.54540,0.09519,0.13151,0.04881,0.09098,0.18884,0.06276,0.05625,,0.04914,,,,0.13364,,0.10414,0.13999,0.09895,0.03660,
NH,9/13/15,,0.59088,0.34552,0.04701,0.05046,0.35150,0.18181,0.05056,0.11829,0.03490,,0.07530,0.05739,0.11185,0.41477,0.19907,0.51342,,0.06342,,0.08751,0.15687,,,0.06966,0.01392,,,0.31133,0.09682,0.19521,0.13799,0.03403,0.07046
NJ,9/13/15,0.19019,0.25724,0.30924,0.09900,0.12619,0.32384,0.14357,0.13975,0.13233,0.05972,0.03954,0.10901,0.12086,0.12513,0.36394,0.27948,0.40062,0.08061,0.08347,0.06931,0.19581,0.12388,,0.08118,0.00917,,0.07578,0.11035,0.09561,0.06371,0.09421,0.18162,0.03806,0.11128
NM,9/13/15,0.40501,0.50042,0.25360,0.08627,0.09260,0.36280,0.11120,0.04639,0.21705,0.03202,0.02901,0.20725,0.05265,0.15392,0.44397,0.18264,0.43740,0.24975,,0.12078,0.24082,0.07195,,,0.12783,,0.21129,0.34189,0.28563,0.04440,,0.12657,0.01560,0.25856
NV,9/13/15,0.34748,0.28105,0.31335,0.11628,0.08321,0.25357,0.39971,0.14590,0.29256,0.07194,0.03259,0.12416,0.03549,0.20748,0.17098,0.19148,0.33258,0.02805,0.02614,0.27134,0.14430,0.22634,,,0.05743,0.00574,0.18987,0.11521,,0.01996,0.08047,,0.02805,0.23235
NY,9/13/15,0.24868,0.25428,0.25241,0.07173,0.05600,0.26612,0.10647,0.16364,0.14766,0.06778,0.01755,0.12533,0.08756,0.16289,0.25570,0.18101,0.31537,0.05349,0.06451,0.04261,0.19017,0.13418,,0.08555,0.05798,0.00257,0.11713,0.05169,0.07197,0.08281,0.12034,0.05104,0.02045,0.12704
OH,9/13/15,0.31377,0.38221,0.28646,0.06682,0.08965,0.46835,0.12920,0.08384,0.14009,0.10748,0.01311,0.10702,0.08496,0.10597,0.40937,0.07859,0.28232,0.04836,0.06760,0.10914,0.15547,0.13006,,0.08117,0.05775,,0.01364,0.06620,0.18436,0.13760,0.22350,0.11440,0.01612,0.12517
OK,9/13/15,0.25271,0.26576,0.12432,0.12687,0.09079,0.55334,0.10903,0.02274,0.02660,0.06279,0.03556,,0.07744,0.12576,0.40420,0.23876,0.26391,0.03061,0.02852,0.11842,0.07871,0.10582,,,0.03133,0.00626,0.05179,0.08380,0.18670,0.06531,0.05852,0.06205,0.00765,0.03169
OR,9/13/15,0.07187,0.10641,0.09516,0.01942,0.05559,0.10286,0.06676,0.02089,0.06516,0.06729,0.00653,0.07258,0.05137,0.07701,0.14279,0.04569,0.16665,0.01874,0.01747,0.01813,0.07232,0.07562,,0.08495,0.08634,0.00192,0.01586,0.05132,0.01429,0.02667,0.02689,0.01900,0.01874,0.01940
PA,9/13/15,0.29259,0.28990,0.33580,0.07139,0.07152,0.25799,0.17792,0.08702,0.08981,0.14840,0.02081,0.12959,0.11330,0.11889,0.33593,0.18810,0.30444,0.06890,0.07063,0.10662,0.14176,0.08735,,0.04857,0.03526,,0.18652,0.10374,0.04202,0.04411,0.05929,0.08382,0.01206,0.12126
RI,9/13/15,0.13691,0.15502,0.47136,0.05345,0.05737,0.54945,0.27558,0.11496,0.20171,0.11903,,,0.06524,0.12715,0.55012,0.07544,0.41691,0.23210,0.07210,0.29932,0.19899,0.08918,,0.07792,,,0.26181,0.10591,0.11798,0.11007,0.36990,0.15688,0.03868,0.16019
SC,9/13/15,0.30326,0.13734,0.24360,0.08286,0.03812,0.49784,0.12207,0.07639,0.07446,0.05273,0.01991,0.15167,0.06503,0.36611,0.50478,0.11696,0.29548,0.06854,0.03194,0.06630,0.06612,0.07901,,0.05178,,,0.02899,,0.13065,0.14629,0.19665,0.20851,,0.08870
SD,9/13/15,0.48568,,0.13939,,0.10179,0.35450,0.12224,0.10199,0.23859,0.14080,,,,,0.27887,0.26769,0.59176,,,,0.17648,,,0.13821,,,,0.37582,,0.09762,0.26245,,,
TN,9/13/15,0.46771,0.30136,0.23603,0.10390,0.02028,0.61795,0.09741,0.14223,0.21389,0.02104,0.01589,0.24206,0.08072,0.16854,0.34723,0.15999,0.25789,0.08204,0.05097,0.05290,0.14065,0.06303,,0.05507,0.01400,0.00280,0.06941,0.11231,0.08340,0.14588,0.11765,0.16633,0.01709,0.05662
